,DELAY BETWEEN RATES (ms),Batch Size,Number of Batches (per run),Number of runs,Delay Increment,Batch Size Increment,,,,,,
0,50,1,1000,-1,0,0,,,,,,
TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
FX,2,FXFWD,SN,,SIMU,USD,CHF,-0.000031,-0.000027,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CHF,0.9757,0.9757,Market,0,A
FX,2,FXFWD,TN,,SIMU,USD,CHF,-0.0000302,-0.0000282,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.001025,-0.000995,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000213,-0.0002,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.002026,-0.001946,Market,0,A
FX,2,FXFWD,2W,,SIMU,USD,CHF,-0.000429,-0.000414,Market,0,A
FX,2,FXFWD,2Y,,SIMU,USD,CHF,-0.039528,-0.036828,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.00316,-0.00304,Market,0,A
FX,2,FXFWD,3W,,SIMU,USD,CHF,-0.000643,-0.000623,Market,0,A
FX,2,FXFWD,3Y,,SIMU,USD,CHF,-0.066557,-0.06374,Market,0,A
FX,2,FXFWD,4M,,SIMU,USD,CHF,-0.004296,-0.004221,Market,0,A
FX,2,FXFWD,4Y,,SIMU,USD,CHF,-0.095025,-0.090575,Market,0,A
FX,2,FXFWD,5M,,SIMU,USD,CHF,-0.005614,-0.005437,Market,0,A
FX,2,FXFWD,5Y,,SIMU,USD,CHF,-0.124,-0.1169,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.00695,-0.0067,Market,0,A
FX,2,FXFWD,7M,,SIMU,USD,CHF,-0.008277,-0.008127,Market,0,A
FX,2,FXFWD,8M,,SIMU,USD,CHF,-0.009606,-0.009431,Market,0,A
FX,3,FXFWD,9M,,SIMU,USD,CHF,-0.011043,-0.010843,Market,0,A
FX,2,FXFWD,10M,,SIMU,USD,CHF,-0.012589,-0.012364,Market,0,A
FX,2,FXFWD,11M,,SIMU,USD,CHF,-0.014119,-0.013844,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.015794,-0.015494,Market,0,A
FX,2,FXFWD,18M,,SIMU,USD,CHF,-0.027625,-0.025375,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,USD,0.000476,0.000488,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,USD,0.000093,0.000102,Market,0,A
FX,2,FXFWD,2M,,SIMU,EUR,USD,0.00098,0.001003,Market,0,A
FX,2,FXFWD,2W,,SIMU,EUR,USD,0.000189,0.000204,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,USD,0.02647,0.02802,Market,0,A
FX,2,FXFWD,3M,,SIMU,EUR,USD,0.001571,0.001591,Market,0,A
FX,2,FXFWD,3W,,SIMU,EUR,USD,0.00029,0.000302,Market,0,A
FX,2,FXFWD,4M,,SIMU,EUR,USD,0.002208,0.002258,Market,0,A
FX,2,FXFWD,5M,,SIMU,EUR,USD,0.00285,0.002975,Market,0,A
FX,2,FXFWD,6M,,SIMU,EUR,USD,0.0036,0.00375,Market,0,A
FX,2,FXFWD,7M,,SIMU,EUR,USD,0.004418,0.004478,Market,0,A
FX,2,FXFWD,8M,,SIMU,EUR,USD,0.005229,0.00537,Market,0,A
FX,2,FXFWD,9M,,SIMU,EUR,USD,0.006133,0.006285,Market,0,A
FX,2,FXFWD,10M,,SIMU,EUR,USD,0.007148,0.007313,Market,0,A
FX,2,FXFWD,11M,,SIMU,EUR,USD,0.008148,0.008336,Market,0,A
