,DELAY BETWEEN RATES (ms),Batch Size,Number of Batches (per run),Number of runs,Delay Increment,Batch Size Increment,,,,,,
0,2500,1,1000,-1,0,0,,,,,,
TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3635,1.3638,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3634,1.3638,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3604,1.3606,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3615,1.3617,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3661,1.3662,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.371,1.3713,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3773,1.3774,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.388,1.3881,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3788,1.3789,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.381,1.3811,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3864,1.3865,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3873,1.3874,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3872,1.3874,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.388,1.3881,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3873,1.3875,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.3969,1.3973,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4076,1.4078,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4096,1.41,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.402,1.4024,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4096,1.4099,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4101,1.4103,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4099,1.4102,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4134,1.4135,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4272,1.4275,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4145,1.4148,Market,0,A
FX,2,FXSPOT,SP,,SIMU,ABC,XYZ,1.4187,1.4189,Market,0,A
